name,class_,origin,sample_hash,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill_s64379_1,mmm-artic-ill,culture,s64379,ill,artic,1,mmm-artic-ill_s64379_1*.fastq.gz,100.0,3502,,3.1.5
mmm-artic-ill_s64379_2,mmm-artic-ill,culture,s64379,ill,artic,2,mmm-artic-ill_s64379_2*.fastq.gz,100.0,7788,,3.1.5
mmm-artic-ill_s64379_3,mmm-artic-ill,culture,s64379,ill,artic,3,mmm-artic-ill_s64379_3*.fastq.gz,100.0,5212,,3.1.5
mmm-artic-ont_s64379_1,mmm-artic-ont,culture,s64379,ont,artic,1,mmm-artic-ont_s64379_1*.fastq.gz,100.0,572,,3.1.5
mmm-artic-ont_s64379_2,mmm-artic-ont,culture,s64379,ont,artic,2,mmm-artic-ont_s64379_2*.fastq.gz,0.0,1,,3.1.5
mmm-artic-ont_s64379_3,mmm-artic-ont,culture,s64379,ont,artic,3,mmm-artic-ont_s64379_3*.fastq.gz,100.0,2321,,3.1.5
mmm-sispa-ill_s64379_1,mmm-sispa-ill,culture,s64379,ill,sispa,1,mmm-sispa-ill_s64379_1*.fastq.gz,100.0,12618,,3.1.5
mmm-sispa-ill_s64379_2,mmm-sispa-ill,culture,s64379,ill,sispa,2,mmm-sispa-ill_s64379_2*.fastq.gz,100.0,10050,,3.1.5
mmm-sispa-ill_s64379_3,mmm-sispa-ill,culture,s64379,ill,sispa,3,mmm-sispa-ill_s64379_3*.fastq.gz,100.0,15432,,3.1.5
mmm-sispa-ont_s64379_1,mmm-sispa-ont,culture,s64379,ont,sispa,1,mmm-sispa-ont_s64379_1*.fastq.gz,100.0,348,,3.1.5
mmm-sispa-ont_s64379_2,mmm-sispa-ont,culture,s64379,ont,sispa,2,mmm-sispa-ont_s64379_2*.fastq.gz,100.0,7185,,3.1.5
mmm-sispa-ont_s64379_3,mmm-sispa-ont,culture,s64379,ont,sispa,3,mmm-sispa-ont_s64379_3*.fastq.gz,100.0,24957,,3.1.5
mmm-artic-ill_s12368_1,mmm-artic-ill,culture,s12368,ill,artic,1,mmm-artic-ill_s12368_1*.fastq.gz,100.0,7146,P.2,3.1.5
mmm-artic-ill_s12368_2,mmm-artic-ill,culture,s12368,ill,artic,2,mmm-artic-ill_s12368_2*.fastq.gz,100.0,3902,P.2,3.1.5
mmm-artic-ont_s12368_1,mmm-artic-ont,culture,s12368,ont,artic,1,mmm-artic-ont_s12368_1*.fastq.gz,100.0,2491,P.2,3.1.5
mmm-artic-ont_s12368_2,mmm-artic-ont,culture,s12368,ont,artic,2,mmm-artic-ont_s12368_2*.fastq.gz,100.0,1221,P.2,3.1.5
mmm-artic-ont_s12368_3,mmm-artic-ont,culture,s12368,ont,artic,3,mmm-artic-ont_s12368_3*.fastq.gz,100.0,1324,P.2,3.1.5
mmm-sispa-ill_s12368_1,mmm-sispa-ill,culture,s12368,ill,sispa,1,mmm-sispa-ill_s12368_1*.fastq.gz,100.0,10360,P.2,3.1.5
mmm-sispa-ill_s12368_2,mmm-sispa-ill,culture,s12368,ill,sispa,2,mmm-sispa-ill_s12368_2*.fastq.gz,100.0,10029,P.2,3.1.5
mmm-sispa-ill_s12368_3,mmm-sispa-ill,culture,s12368,ill,sispa,3,mmm-sispa-ill_s12368_3*.fastq.gz,100.0,10418,P.2,3.1.5
mmm-sispa-ont_s12368_1,mmm-sispa-ont,culture,s12368,ont,sispa,1,mmm-sispa-ont_s12368_1*.fastq.gz,100.0,686,P.2,3.1.5
