name,class_,sample,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill__Brazil_P.1_3522_P2D2__2,mmm-artic-ill,Brazil_P.1_3522_P2D2,ill,artic,2,mmm-artic-ill__Brazil_P.1_3522_P2D2__2*.fastq.gz,99.90934730056406,3443,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P2D2__3,mmm-artic-ill,Brazil_P.1_3522_P2D2,ill,artic,3,mmm-artic-ill__Brazil_P.1_3522_P2D2__3*.fastq.gz,99.90934730056406,6117,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P2D2__1,mmm-artic-ont,Brazil_P.1_3522_P2D2,ont,artic,1,mmm-artic-ont__Brazil_P.1_3522_P2D2__1*.fastq.gz,100.0,1521,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P2D2__2,mmm-artic-ont,Brazil_P.1_3522_P2D2,ont,artic,2,mmm-artic-ont__Brazil_P.1_3522_P2D2__2*.fastq.gz,100.0,1370,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P2D2__3,mmm-artic-ont,Brazil_P.1_3522_P2D2,ont,artic,3,mmm-artic-ont__Brazil_P.1_3522_P2D2__3*.fastq.gz,100.0,727,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P2D2__1,mmm-sispa-ill,Brazil_P.1_3522_P2D2,ill,sispa,1,mmm-sispa-ill__Brazil_P.1_3522_P2D2__1*.fastq.gz,99.99328498522698,11096,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P2D2__2,mmm-sispa-ill,Brazil_P.1_3522_P2D2,ill,sispa,2,mmm-sispa-ill__Brazil_P.1_3522_P2D2__2*.fastq.gz,99.98656997045393,8032,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P2D2__3,mmm-sispa-ill,Brazil_P.1_3522_P2D2,ill,sispa,3,mmm-sispa-ill__Brazil_P.1_3522_P2D2__3*.fastq.gz,99.98992747784045,11793,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P2D2__1,mmm-sispa-ont,Brazil_P.1_3522_P2D2,ont,sispa,1,mmm-sispa-ont__Brazil_P.1_3522_P2D2__1*.fastq.gz,100.0,699,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P2D2__2,mmm-sispa-ont,Brazil_P.1_3522_P2D2,ont,sispa,2,mmm-sispa-ont__Brazil_P.1_3522_P2D2__2*.fastq.gz,100.0,5247,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P2D2__3,mmm-sispa-ont,Brazil_P.1_3522_P2D2,ont,sispa,3,mmm-sispa-ont__Brazil_P.1_3522_P2D2__3*.fastq.gz,100.0,14750,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.2_30270_P1E6__1,mmm-artic-ill,Brazil_P.2_30270_P1E6,ill,artic,1,mmm-artic-ill__Brazil_P.2_30270_P1E6__1*.fastq.gz,100.0,3502,,3.1.5
mmm-artic-ill__Brazil_P.2_30270_P1E6__2,mmm-artic-ill,Brazil_P.2_30270_P1E6,ill,artic,2,mmm-artic-ill__Brazil_P.2_30270_P1E6__2*.fastq.gz,100.0,7788,,3.1.5
mmm-artic-ill__Brazil_P.2_30270_P1E6__3,mmm-artic-ill,Brazil_P.2_30270_P1E6,ill,artic,3,mmm-artic-ill__Brazil_P.2_30270_P1E6__3*.fastq.gz,100.0,5212,,3.1.5
mmm-artic-ont__Brazil_P.2_30270_P1E6__1,mmm-artic-ont,Brazil_P.2_30270_P1E6,ont,artic,1,mmm-artic-ont__Brazil_P.2_30270_P1E6__1*.fastq.gz,100.0,572,,3.1.5
mmm-artic-ont__Brazil_P.2_30270_P1E6__2,mmm-artic-ont,Brazil_P.2_30270_P1E6,ont,artic,2,mmm-artic-ont__Brazil_P.2_30270_P1E6__2*.fastq.gz,0.0,1,,3.1.5
mmm-artic-ont__Brazil_P.2_30270_P1E6__3,mmm-artic-ont,Brazil_P.2_30270_P1E6,ont,artic,3,mmm-artic-ont__Brazil_P.2_30270_P1E6__3*.fastq.gz,100.0,2321,,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P1E6__1,mmm-sispa-ill,Brazil_P.2_30270_P1E6,ill,sispa,1,mmm-sispa-ill__Brazil_P.2_30270_P1E6__1*.fastq.gz,100.0,12618,,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P1E6__2,mmm-sispa-ill,Brazil_P.2_30270_P1E6,ill,sispa,2,mmm-sispa-ill__Brazil_P.2_30270_P1E6__2*.fastq.gz,100.0,10050,,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P1E6__3,mmm-sispa-ill,Brazil_P.2_30270_P1E6,ill,sispa,3,mmm-sispa-ill__Brazil_P.2_30270_P1E6__3*.fastq.gz,100.0,15432,,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P1E6__1,mmm-sispa-ont,Brazil_P.2_30270_P1E6,ont,sispa,1,mmm-sispa-ont__Brazil_P.2_30270_P1E6__1*.fastq.gz,100.0,348,,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P1E6__2,mmm-sispa-ont,Brazil_P.2_30270_P1E6,ont,sispa,2,mmm-sispa-ont__Brazil_P.2_30270_P1E6__2*.fastq.gz,100.0,7185,,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P1E6__3,mmm-sispa-ont,Brazil_P.2_30270_P1E6,ont,sispa,3,mmm-sispa-ont__Brazil_P.2_30270_P1E6__3*.fastq.gz,100.0,24957,,3.1.5
mmm-artic-ill__Brazil_P.2_30270_P2D2__1,mmm-artic-ill,Brazil_P.2_30270_P2D2,ill,artic,1,mmm-artic-ill__Brazil_P.2_30270_P2D2__1*.fastq.gz,100.0,7146,P.2,3.1.5
mmm-artic-ill__Brazil_P.2_30270_P2D2__2,mmm-artic-ill,Brazil_P.2_30270_P2D2,ill,artic,2,mmm-artic-ill__Brazil_P.2_30270_P2D2__2*.fastq.gz,100.0,3902,P.2,3.1.5
mmm-artic-ont__Brazil_P.2_30270_P2D2__1,mmm-artic-ont,Brazil_P.2_30270_P2D2,ont,artic,1,mmm-artic-ont__Brazil_P.2_30270_P2D2__1*.fastq.gz,100.0,2491,P.2,3.1.5
